,Consumer complaint narrative
0,"I would like to make an official complaint concerning Wells Fargo Retail Services Account XXXX XXXX XXXX website and televised commercial promoting the No Interest if Paid in Full within 12 Months. I believe that the information depicted therein constitutes false advertisement and should be changed to reflect the true nature of the product. 

Both the company site and the TV ad explicitly state there is No Interest if Paid in Full within 12 Months. I bought furniture on or about XX/XX/2019. However, the first time I received a bill, 1 ) I was charged a late fees, even though I made a first payment before it was due on XX/XX/2019 ; 2 ) Payments could only be made through a Non-Wells checking account, and the online website/app you can not pay by debit/credit, money order, only checking account ; and 3 ) You a required to make monthly minimum payments or I will be charged and late fee and be reported to credit bureau! This has been consistently true with every subsequent bill as well. 

This is not a No Interest if Paid in Full within 12 Months Promotion, it is actually a High Interest/Hidden Fee Charging Retail Credit Card in disguise, that 1 ) restricts payments through mandatory non-Wells Fargo checking account only ; 2 ) charges monthly late fees if minimum monthly payments aren't made ; 3 ) charges you late fees if additional payments are made on the account in the same month instead of crediting the payments to the next payment period ; 4 ) is not a No Interest if Paid in Full because you are charged late fees for non monthly payments that are not clearly advertised. ( See attached Receipt, Advertising and Billing info. ) I would request that you remove the false information from their advertisements and the late fees and charges be removed from my account, be allowed to pay by credit/debit, money order if I choose and to have a true No Interest if Paid in Full within 12 Months account As Advertised! 

Prior to and on XX/XX/2019, I spoke with Wells Fargo regarding their deceptive advertising, restricting payments, hidden fees, etc. I was given a Complaint number by their Executive Officer representative XXXX, Ref # XXXX and told that I would get a response in 10 business days. 

Thank you. 

Sincerely, XXXX XXXX"
1,"Wells Fargo, {$80.00}, On XX/XX/XXXX the autopay on my XXXX Credit Card was turned off. I have had this card for eight years and have always had autopay on. I only found out that it was turned off upon seeing two financial charges on my credit card statement for a total of {$80.00}. Upon reaching out to Wells Fargo they Told me that I was the one that turned it off and said that they could not help me. When I asked them for information on the device that was used and the location they told me they could not give me this information. Because of this missed payment my credit score could be effected."
6,"Wells Fargo is charging me 24 % on my credit card unpaid balance for no logical, justified or apparent reason"
10,"Wells Fargo Retail Services needs to be investigated for charging erroneous charges and fraudulent sales practices for not disclosing their no interest procedures. First, I purchased furniture at XXXX in XXXX with XXXX mos no interest. They failed to disclose that the interest would be tacked on at the end of the XXXX mos in the amount of {$1200.00}. They never sent me any statements and I NEVER opted for online statements. I filed a complaint directly through Wells Fargo in XXXX of this XXXX. The escalation person only introduced themselves via email. Not once did I get a call from him. Each time I followed up via their secured email portal, I never received a reply. All they did was send me my statements. Not once did they address the interest fees. They did NOTHING! Fast forward to today, I go online to make my payment which showed a minimum payment due of {$64.00}. However, when I look at my statement it shows the minimum payment is {$230.00} with a past due amount of {$110.00}. How?????? Not only that, they have been wrongly charging me a late fee of {$40.00} every months for the past 4 months! They are FRAUDS!!!!!! I want these fees reversed ASAP!! {$1200.00} and the late fees. It is a disgrace that they would take advantage of customers."
15,"This complaint is about a Wells Fargo credit card account. My account was just closed yesterday out of blue. When I called Wells Fargo, I was told it is due to inactivity of 6 months. Funny thing is I found out about the closure when I try to activate a new replacement card of this account that Wells Fargo sent out to me a few days ago. 

The question now is first of all, Wells Fargo has never informed us as customer that the credit card would be closed due to inactivity of 6 months. We as customer wo n't have a chance to make use of the card and keep the account open. Second of all, in fact, this account has been in inactive status for about 12 months. So if they are closing card due to 6 months of inactivity, why are they closing my account now at 12 months? And why are they even sending out the replacement card for this account? 

This closure without any notice is definitely going to hurt my credit score, as it shortens  my average credit history and my available total credit line."
18,"My name is XXXX XXXX XXXX I been banking with your bank since XXXX. I had over half a million dollar in my account. I visited the XXXX office to do a transaction in XXXX XXXX. The banker took a copy of my green card and my social security office which I never understood the reason why she asked for them. Few days After I received a phone call from one of your an unethical banker from the XXXX office to apply for a credit card. I informed the unethical banker that I dont have a need to have a credit card. She informed to please get the card so she can meet her goals. I agreed to apply for regular credit card not secure card. Shortly after, I noticed a withdraw for {$5000.00} from my account. I immediately called the bank and said they applied for a secure credit card. I informed her I never agreed for the secure card. She apologized and asked me to keep the card. I never received my Wells Fargo credit card. I dont reside in the states and dont understand their system. On our last trip to USA I discovered that I am on bad credit when I applied for my son for student loan to go to XXXX XXXX. The banker asked me to pay for the card to not get my credit report damage further and instructed to file a fraud claim. I filed a fraud claim and police report over a month and half ago. No solutions been accomplished yet. I would like to bring to your attention that we were out of the country during the whole period of the card being used. Please find attached a copy of our passports and tickets. The attached documents prove that we spent from XXXX XXXX to XXXXXX/XX/XXXX in the USA. Our next trip to USA was from XX/XX/XXXX tillXX/XX/XXXXXXXX. 
My Social Security Number is XXXX. My husband by name of XXXX XXXX XXXX XXXX also encountered the same fraud from the same banker and bank on the same day. His claim was approved and my claim was declined. 

XXXX, the times we spent in USA throughout our lives were as follows ( as proved by the documents ) Mon XXXX XXXX XXXX Till Fri XXXX XXXX XXXX XXXX XXXX XXXX till XXXX XXXX XXXX XXXX XXXX XXXX till XXXX XXXX XXXX XXXX XXXX XXXX till XXXX XXXX XXXX XXXX XXXX XXXX till XXXX XXXX XXXX As you see from the pattern of our travel, we spend around15 days in the USA every 6 months"
20,"Hello. In continuation of your response to my complaint about Wells Fargo through CFPB. 
You, instead of giving me an actual answer and resolving the issue, you are doing a training course. I do not need your guidance. 
You advertised in my account that I was pre-approved for a card, so I filled out the request and submitted it, and you told me that you would let me know through mail about your response. 
Approximately a week after that I received a letter from you regarding the application, saying that my credit was frozen with XXXX and that I needed to unfreeze my credit and call you to let you know. In order to remind you, on XX/XX/2022, I called you and told you that I unfroze my credit so you could check it. You indeed checked it, and after you had checked, and to my question, you gave me a response to freezing my credit. On that same day, XXXX points were taken from my credit. I do not need your training course and do not tell me stories or excuses. 
On XX/XX/XXXX, I told you that I was not interested and was not going to unfreeze my credit for a second time because I did not my credit score to go down again and hurt my credit because this is very important to me ( you don't check 15 times, you only check credit once, you do not have the right to request from the client to open his credit in the first place for a card that he was pre-approved for, for a second time and endlessly after that ). On your mistake that you did not check my credit as you were supposed to, I do not want reconciliation, I just want my credit score back, because I do not want your card at all, and I already told you this on XX/XX/2022, that I was no longer interested in the card. 
Thus, I demand, in a clear-cut manner, that you cancel what you did on my XXXX account so that my credit score goes back to how it was prior. 
And don't keep telling me stories and legends, only relevant answers. 

Attached is a screenshot of my XXXX account, showing my credit score went down by 16 points on XX/XX/2022. 

Sincerely, XXXX XXXX"
25,"I use XXXX for shipping. XXXX would say pay XXXX rate and then upon paying would change the number to a higher number. I contacted XXXX and they did not have a viable answer. I contacted Wells Fargo to submit a claim that they accepted and reversed the charges. This continued for XXXX  months. Then Wells Fargo REVOKED my card because they said I was XXXX  the card. This action caused XXXX  of dollars in damage and weeks of labor on my part to resolve. I have physical evidence of all of this. 

Last night afetr extensive discussions with XXXX we did figure out there was a problem with their computer system and my account. My account was ported to a new account and everything work exactly as it should for shipping. 

To date Wells Fargo has not even explained why I was punished for the correct action."
26,"Back in XXXX I opened a checking account with Wells Fargo bank and deposited a settlement check. In XXXX, I deposited another large check. I opted to get a platinum credit card with a credit limit of {$500.00} initially, Wells Fargo increased the credit limit to {$1000.00} in the first five months. XX/XX/XXXX, I injured myself and have not been able to work. Wells Fargo closed the credit card account around XX/XX/XXXX and stated on my account page that I could make payments until balance is paid off. However, Wells Fargo has stopped adding late fees recently but continues to add fees and interest charges on this closed account. When I make payments, the payments are not toward the principal but the internet and fees. So far the fees are over {$200.00} in XXXX and interest is {$87.00} in XXXX. How can Wells Fargo charge interest and fees on a closed account? XXXX interested in paying off the principal balance without the fees and/or interest attached. Ive tried to explain this to Wells Fargo customer service reps to no avail. They just call and harass on a closed account. I have no problem paying the principal but how can I get my payments to go towards my principal on this closed account. Is this legal? Please someone help. I do not use this credit card since it is and has been closed."
28,I was shocked to find out my store card was closed never have I been treated like this Wells Fargo closed my retail store credit card XXXX XXXX and they didnt even inform me I found out online this is not fair
29,"Wellsfargo.com will not let me enroll to use the website for a new card. It tells me to call. I have called 5 times and no one there can fix it. They ask me the same identity verification questions and then do nothing. I have not had access since I received this card. I can not pay my bill or view any transactions because I can not access the website. 

Then they told me to go to a branch, but there are no Wells Fargo in the state of Louisiana."
34,"I have attempted to reach out to Wells Fargo on several occasions over the past month to resolve issues with my account. Each time I contacted Wells Fargo I had to provide/answer many identifiying questions including and not limited to social security number, date of birth, address, telephone numbers, work number, credit card number, credit secuirty code. I made Wells Fargo aware that I can not remeber any verbal password I provided and want this feature removed from my account since I do not recall giving a verbal password and do not want to use this feature ... To date Wells Fargo has refused to take any calls and allow me to use the account. 

Wells Fargo has refused to remove or allow me to change the verbal password and refusing to resolve the verbal password issue thus delaying use of my account. 

I believe Wells Fargo engaging in this deceptive discrimintory practice to avoid allowing customer to negoiate payments during the pandemic. I want the CFPB to enact and pass laws that allows consumer to opt out of using verbal passwords and prevent Wells Fargo from using this feature to block consumer from using and accessing account information."
35,"On or around XX/XX/2017 my secured credit card with a credit limit of {$300.00} was charged over {$1500.00} and I did not authorize that charge. How can a {$300.00} limited be charged out and the balance be over {$1800.00}? I have disputed it with the credit bureau and nothing has changed. Also, it had gotten removed from credit file for a few days but now its back on there and has drive my credit score way down again. The data on credit file isn't correct and up to date. The entire process concerning Wells forgot isn't doing anything correct and definitely causing me alot of headache with things not being right."
36,"When the store sales person applied for the card, I wasn't given any information by the XXXX 's store because a wells Fargo member called to give me the info over the phone. After all information provided I accepted the card verbally over the phone. I never saw any written contract online because the store staff did all. The Wells Fargo caller informed me I had a 12 months no interest promotion, and after this 12 months whatever balance is left I will have interests on it. That's how it is with all cards, I understand and accepted. But what happened was different. Once the 12 months came by, I was half way done paying it, Wells Fargo charged all interests back to the 12 months I've already paid, plus all interests of amount owed. That brought my account almost to stage 1, because the amount went high again, I was enable to make more than minimum payment, that resulted in lot more interests of course. Eventually, I just lost control of the account. XXXX XX/XX/2019, I made a payment for the two months that I was behind. I am requesting the conversation the Wells Fargo and I had over the phone, Wells Fargo has not provided yet, they don't want to provide I believe, because I never receive answers about that.. I tried calling more than 20 times, no one seems to care. I spoke with many different people, every time I call I have to repeat over and over again, same story. I will get a lawyer soon if this claim doesn't help, but I want to try one more time before I take drastically actions."
37,"On XX/XX/XXXX, Wells Fargo charged {$2000.00} to my XXXX XXXX XXXX XXXX XXXX from a company called XXXX XXXX , in XXXX FL. I called them and told them I had never heard of such a company and had not done any business with them. They refused to return my money and claimed I had dealt with them. There was no phone number to make any contact. I have been fighting this cause since then. Last week I was told that my time of limitation has run out BUT I have been on this case since XXXX. 

The following year on XXXX, I was charged {$1500.00} to sell my timeshare. Then on XX/XX/XXXX, the same company, XXXX XXXX XXXX, called me and hurriedly told me they needed {$3800.00} as they were selling the property. I was confused and did not realize that I had already paid them {$1500.00} earlier that year. This was charged to my XXXX XXXX XXXX XXXX XXXX. I refused to sign the contract and asked them to cancel. 
I called Wells Fargo and asked them to refuse the charge. They told me they could n't reverse it. In doing so, they accepted the scam charge rather than supporting their client who had been with them since the sixties. I received a letter which claimed I had profited from this charge. How can they prove that? Still pursuing this all these years and the time of limitations is up. They never sold my timeshare."
42,"The website for my XXXX XXXX would not tell me my balance. There is no way for me to use this car if I don't know the balance. It now shows it is expired. However, there is a note right above the expiration date of XX/XX/22 that says FUNDS DO NOT EXPIRE. If they don't expire, why is there is expiration date on the card. And why won't the website allow me to see the balance. When I checked a few days ago, it said the status of my card was closed. No other information. What is this suppose to me. Why don't they give more information. Are they just hoping that customers don't check on these things so they can just keep hard working peoples money? 

The card is issued by Wells Fargo Bank , N.A . pursuant to license from XXXX XXXX XXXX."
43,yes XXXX XXXX put in another credit card under my information useing my ssi number fraud address u need contact her XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX
47,"Wells Fargo needs to be more honest when dealing with customers. I have been dealing and fighting with Wells Fargo for a month. The lady in the executive office on XX/XX/2019 told me in a recorded phone call that my secured card was still open. I called XXXX XXXX today and she agreed that I was right but failed to put that in the letter addressed to me and to this agency. She and Wells Fargo need to come clean and tell the truth no matter how it looks legally. It should not take over a week to close an account and if a closed request was done on the XXXX as they claim, why did the lady tell me days later that it was still open and why did she state that the two closure request did not take and the account was still open. Why did I have to find out on the XX/XX/XXXX that the account was closed? Why would they send out a replacement card on a closed account? Why would I make {$460.00} payment on a closed account? Why did it take so long and so many phone calls my me to get my secured card money back? Why did they not already decide to do training with the lady that told me that they card was open? Why should I force this as a demand from them? Who is reading the letters that Wells Fargo sends out to customers for accuracy and honesty? Wells Fargo needs to listen to the entire call and not just portions of the call like XXXX XXXX claimed she did? How can XXXX T even right a letter without listening to the entire call. 

XXXX"
50,"I attempted to make a balance transfer using a Wells Fargo transfer check attached to my credit card account. Although the debited my account the the {$1200.00} dollars it was never credited to my intended XXXX card account. I have made 5 attempts by phone to rectify the problem with Wells Fargo, and one written correspondence with no results."
52,"On XX/XX/XXXX I mistakenly transferred {$10000.00} from my non Wells Fargo checking account to my Wells Fargo credit card account. I began calling asking for the funds to be transferred back into my checking account. Each call resulted in a different outcome. I have been told on several different occasions the money would be transferred and given a date when it would happen. To date the money still sits as a positive balance in the credit card account. The last call made ended up getting handed off to someone in a different area of the company and was told it would take 30 days for the money to be returned. They take 30 seconds to accept the money,. 30 days to return it."
