,Consumer complaint narrative
0,Says that I need to update Wells Fargo security account. I do not have a Wells Fargo account.
1,"Scammers scammed money for job offerings and house purchases. One transaction is a check deposit, from Wells Fargo to the XXXX XXXX XXXX. Date : XX/XX/2020. {$3000.00}. Check # XXXX XXXX XXXX Deposit into XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX No : XXXX XXXX XXXX XXXX Routing No : XXXX XXXX XXXX Address XXXX XXXX XXXX XXXX, XXXX, TX XXXX I contacted both banks, XXXX XXXX XXXX willing to help me , and suggested me to ask Wells Fargo work with XXXX XXXX XXXX and recover my money. 

Please see the attached document."
2,Wells Fargo had money sent from another country dont remember the amount of millions. They said there was nothing want to final is it true or not?
3,"I was trying to rent a property at the beginning of XXXX, but after paying the first month 's rent and deposit, I still had not recieved the keys. I was offered a refund, but was never actually sent the money. I was reassured by my bank that i was protected on wiretransfers and that i would be able to get my money back in the event it was indeed a scam. On XX/XX/XXXX, I filed a claim with my Wells Fargo bank for exactly that, expecting it to be an open and shut case. After a month of waiting and calling for updates, I had not recieved anything. On XX/XX/XXXX, another claim was created in hopes of escalating it. I did not hear anything on that either. Around XX/XX/XXXX, I finally spoke with a second level XXXX who emailed the claims department for escalation, filed another claim in XXXX separate departments, and notified me that the first initial claim was filed incorrectly. It is now XXXX, and I was facing eviction because I was relying on receiving my money weeks ago to pay it. I have been struggling since I moved in the middle of XXXX because I've been waiting for my {$3600.00} plus the wire transfer fees. I have now accrued {$380.00} in over draft fees that they have only paid {$140.00} back and tell me I'm liable for the rest. Despite being told by the second level XXXX that those would be reversed when the claim was resolved. XX/XX/XXXX, i called and complained to the XXXX office and the filed another claim and immediately assigned it. This was the only case XXXX to ever contact me for more information. As of XX/XX/XXXX, they resolved the claim and told me they could not get my money back without permission from the thief to take it from his account. Completely going against what I was promised by a wire transfer XXXX before I ever sent the money. I was told they would be liable for any overdrawn amount because the money wasn't their 's to steal. Now I am told there is nothing they can do because the money isnt there 3 months later. I was told when I first filed my claim, that it would take 10 business days for them to complete. Had they done that, the money may have still been there, but they also can't answer me when I tell them the scammer shared with me a certified letter from wells fargo that showed the money was flagged and pulled for suspicious activity so he no longer had it, they did. So now they made a profit and are unwilling to reverse charges. My account sits in the negative as I refuse to deposit anything, because this is their fault and I can not afford to pay an unnecessary debt and make ends meat. My family has had to go hungry and cold throughout this entire ordeal only to come out the other side worse off. If I did not have a support system to help with my bills, we would certainly have gone homeless."
4,"On XX/XX/23 I had a scammer call my cell using a Wells Fargo phone number. They tricked me into thinking someone was trying to access my funds in XXXX the country and trying to take {$7000.00} and needed to secure my account. They gained access to my phone thru XXXX and used "" Wells Fargo Security Server '' as the access name. They took full control of my phone and before I could blink were able to wire {$9400.00} out of my account. I went to a Wells Fargo bank immediately and had them cancel my accounts that the money was taken from. They advised "" They were so glad I came in right away and didn't wait until the next day because that would of been a totally different situation '' But since I had come in right away they could put a hold on that transfer and it still showed pending. 

I followed up with Wells Fargo fraud department on XX/XX/23 and they said it would take 5-10 business days for my funds to be available and they were still in the claims process. But I would get a return on the {$60.00} wire transfer fees as well. ( A total of {$9400.00} was taken from my account ) I called again on XX/XX/23 for another follow up. At that point they said they had denied my claim and I would not be getting my money back. They had already told me several times that I would and they put a stop on it since the wire transfers still showed pending! 

I am currently out {$9400.00} ... my dad had just given me this money a week prior for my wedding. I'm devastated!"
8,"XXXX XXXX XXXX 

Transfers unknown/unlisted on statements with destinations not mine. XXXX, totaling. 

Numerous bank triggered overdraft fees in above amount."
11,"I recently placed an item for sale on XXXX XXXX XXXX, a potential buyer contacted me to let me know that she was interested and would be sending a bank guaranteed check via registered mail. When the check for {$1900.00} arrived to cover the purchase price and transportation I deposited the check electronically into my Wells Fargo account on Sunday XXXX XX/XX/2023. While checking my bank account on Tuesday XXXX XXXX I noticed that the check had been cleared which concerned me that it had been cleared so quickly as I had read that checks can take XXXX days to clear. I then phoned the bank ( XXXX approximately XXXX ) to confirm that the check had been fully cleared and approved, I was told that it had, and everything was in order and the funds where available to be used. 

Soon after this call the buyer contacted me to say that her child had been involved in an accident and she needed to cancel the transaction and asked me to return {$1300.00} of the funds. I then transferred {$1300.00} via XXXX into her account in the evening of Tuesday XXXX XXXX. 

On the XXXX XXXX, midday, I was checking my bank details again and I noticed that the check was now showing as pending. I drove directly to my Wells Fargo bank in XXXX XXXX to find out what was going on. I was told by Wells Fargo that the check now looked suspicious, hence the revert back to pending status, and at their recommendation I cancelled my old account checking account and created a new one as this now looked like a scam. 

At the bank they created an incident report and contacted the banks fraud department who said that they would get back to me within XXXX to XXXX days. Due to the lack of response, I phoned Wells Fargo on several occasions to follow up on the status of the {$1300.00} I am out of pocket. I was transferred between the fraud department, customer complaints and the XXXX department XXXX XXXX trying to find out who could help me with this issue. I asked XXXX if they could contact the receiving bank and was told that they had sent a request and that is all they could do. All departments said they could not help me and that I had been scammed. The original deposit was reversed by the fraud department which I totally agree on. On XXXX of the calls, I was put through to a claims dispute department and they said they would follow up. I then received a call from them and they said there was nothing they could do about it. I again told them that Wells Fargo was responsible for allowing me to transfer {$1300.00} from the check and that I would like a copy of the voice recording where Wells Fargo assured me that the check was cleared and there was no problem with it. Again, they said they would get back to me. I received an email Monday, XXXX XXXX stating that I would need a court order to obtain a copy of the recording and if I felt I was a victim of a financial crime I should contact law enforcement. 

By nature, I am a very cautious person, and I would never have transferred the funds if I had not received confirmation directly from the bank that the check had been fully cleared, as such I believe that the bank is accountable and as such should refund the {$1300.00}."
15,"Wellsfargo Bank claimed to have mailed me a cashier 's check for {$230.00} on XX/XX/2017, in which I never received. I filed an affidavit regarding check # XXXX and Wells Fargo Unclaimed Property department replied that they received my inquiry but never got back to me any further about replacing the check."
16,"My mortgage company took two payments of {$3900.00} out of my checking account on XXXX XXXX. 
Which put my account in negative status. 
Then on XXXX th my mortgage company XXXX sent both payments back to my account that should have put my account into a positive status of {$3900.00}. That did not happen. The money just disappeared and Wells Fargo gave me the run around as to where my money went. My money was never recovered, my questions never answered and no one could explain why."
21,"Summary : I am a victim of an elaborate job posting scam that began XX/XX/2022 which led to me sending a recipient two XXXX  transfers using the XXXX service offered thru my bank Wells Fargo on XX/XX/2022, to pay for training materials and a laptop. Note the scammer had sent me a check for XXXX the day before, to cover the XXXX XXXX transfers however it turned out to be stolen. 

1st XXXX transfer was done XX/XX/2022 at XXXX EST. 
2nd XXXX transfer was done XX/XX/2022 at XXXX EST. 
At XXXX the scammer then requested I locate a "" XXXX XXXX '' ATM right away to exchange XXXX cash for XXXX. I did not complete this request and I called Wells Fargo at XXXX to report the scam transaction and to have the XXXX transfers reversed. They left me with the impression I should get the funds back in about 10 days but that didn't happen. 

Notices I received days later via us post office from Wells Fargo : 1 ) Notice dated XX/XX/2022 acknowledging fraud claim XXXX submission and that they are looking into the matter. 

2 ) Notice dated XX/XX/2022 stating they determined the payments were processed as requested however as a courtesy they will continue to attempt to assist with a resolution with the receiving financial institution. 

3 ) Noticed dated XX/XX/2022 stating the two XXXX transfers have already been approved and processed and they are unable to stop or reverse the funds. Also they notified the receiving financial institution and XXXX Network about the scam and they submitted a request to have the funds returned however it is not guaranteed. They have closed the claim. 

It is a very poor business practice to process XXXX transactions without a reasonable window of time to reverse the transaction especially with the number of scams happening these days. Note these ( 2 ) transactions were to purchase a laptop and training materials and even though it was under fraudulent pretenses, I paid for something I didn't get and Wells Fargo and XXXX should provide a form of purchase protection if not like one receives with credit card purchases. 

I have a lot of support documentation to provide if needed : Initial text offering to engage in an interview with a link to access the scammer Chat history using XXXX application with the scammer Image of stolen check and the XXXX envelope used to send it to me. 
Wells Fargo notices received in the mail as described above. 
Documents provided by scammer : Job Offer Letter, Code of Business Conduct, I-9 form and W-4 Screen shots of the XXXX transactions Screen shot of the call time to Wells Fargo to report the fraud Emails between myself and scammer and more. 

Thank you kindly in advance for any help you could offer in getting my XXXX back."
